Timestamp,Values,Type
2024-06-26 23:16:00,93,Low
2024-06-26 23:27:00,93,Peak
2024-06-26 23:27:00,92,Low
2024-06-27 00:00:00,89,Peak
2024-06-27 00:00:00,88,Low
2024-06-27 00:11:00,88,Peak
2024-06-27 00:11:00,87,Low
2024-06-27 01:07:00,77,Peak
2024-06-27 01:07:00,76,Low
2024-06-27 01:22:00,72,Low
2024-06-27 01:22:00,73,Peak
2024-06-27 02:00:00,64,Peak
2024-06-27 02:02:00,62,Low
2024-06-27 02:24:00,57,Peak
2024-06-27 02:33:00,56,Low
2024-06-27 03:16:00,85,Peak
2024-06-27 03:54:00,77,Peak
2024-06-27 04:10:00,74,Peak
2024-06-27 04:10:00,73,Low
2024-06-27 04:20:00,71,Low
2024-06-27 04:20:00,72,Peak
2024-06-27 04:24:00,71,Peak
2024-06-27 04:25:00,70,Low
2024-06-27 04:33:00,69,Peak
2024-06-27 04:33:00,68,Low
2024-06-27 04:41:00,67,Peak
2024-06-27 04:41:00,66,Low
2024-06-27 04:49:00,65,Peak
2024-06-27 04:49:00,64,Low
2024-06-27 05:04:00,62,Peak
2024-06-27 05:04:00,61,Low
2024-06-27 05:07:00,61,Peak
2024-06-27 05:07:00,60,Low
2024-06-27 05:11:00,59,Low
2024-06-27 05:12:00,60,Peak
2024-06-27 05:15:00,59,Peak
2024-06-27 05:15:00,58,Low
2024-06-27 05:27:00,55,Low
2024-06-27 05:27:00,56,Peak
2024-06-27 05:35:00,53,Low
2024-06-27 05:35:00,54,Peak
2024-06-27 05:49:00,51,Peak
2024-06-27 05:49:00,50,Low
2024-06-27 06:03:00,48,Peak
2024-06-27 06:03:00,47,Low
2024-06-27 06:06:00,46,Low
2024-06-27 06:06:00,47,Peak
2024-06-27 06:18:00,44,Peak
2024-06-27 06:20:00,42,Low
2024-06-27 06:28:00,42,Peak
2024-06-27 06:28:00,41,Low
2024-06-27 06:33:00,41,Peak
2024-06-27 06:33:00,40,Low
2024-06-27 06:55:00,39,Peak
2024-06-27 06:55:00,38,Low
2024-06-27 06:59:00,38,Low
2024-06-27 14:09:00,100,Peak
2024-06-27 14:12:00,100,Peak
2024-06-27 14:12:00,99,Low
2024-06-27 14:17:00,98,Low
2024-06-27 14:17:00,99,Peak
2024-06-27 14:23:00,97,Low
2024-06-27 14:23:00,98,Peak
2024-06-27 14:35:00,97,Peak
2024-06-27 14:35:00,96,Low
2024-06-27 14:55:00,95,Low
2024-06-27 14:55:00,96,Peak
2024-06-27 15:08:00,94,Low
2024-06-27 15:08:00,95,Peak
2024-06-27 15:25:00,92,Low
2024-06-27 15:25:00,93,Peak
2024-06-27 15:45:00,88,Low
2024-06-27 15:45:00,89,Peak
2024-06-27 15:52:00,86,Low
2024-06-27 15:52:00,87,Peak
2024-06-27 17:24:00,65,Low
2024-06-27 17:24:00,66,Peak
2024-06-27 17:37:00,61,Low
2024-06-27 17:37:00,62,Peak
2024-06-27 17:40:00,60,Low
2024-06-27 17:40:00,61,Peak
2024-06-27 18:06:00,53,Low
2024-06-27 18:06:00,54,Peak
2024-06-27 18:13:00,51,Peak
2024-06-27 18:13:00,50,Low
2024-06-27 18:18:00,48,Low
2024-06-27 18:18:00,49,Peak
2024-06-27 18:29:00,46,Peak
2024-06-27 18:29:00,45,Low
2024-06-27 18:32:00,44,Low
2024-06-27 19:45:00,89,Peak
2024-06-27 19:45:00,88,Low
2024-06-27 20:12:00,82,Peak
